hh_id;ind_id;psu;strata;subsample;weight;area;region;region_01;agec4;agec2;d_cm;d_nutr;d_satt;d_educ;d_elct;d_wtr;d_sani;d_hsg;d_ckfl;d_asst;d_cm_01;d_nutr_01;d_satt_01;d_educ_01;d_elct_01;d_wtr_01;d_sani_01;d_hsg_01;d_ckfl_01;d_asst_01;mpi
10001;1000101;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;18-59;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10001;1000102;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;18-59;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10001;1000103;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;18-59;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10001;1000104;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;18-59;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10001;1000105;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;0-9;0-17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10003;1000301;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;60+;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10003;1000302;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;18-59;18+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10003;1000303;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;0-17;0-17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10003;1000304;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;0-9;0-17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10003;1000305;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;0-9;0-17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.055555556
10005;1000501;1;banteay mean chey rural;men's survey;0.41732;rural;Banteay Meanchay;Banteay Meanchay;60+;18+;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0.22222222
