psu,area,region,region_01,rate_cm,rate_nutr,rate_satt,rate_educ,rate_elct,rate_wtr,rate_sani,rate_hsg,rate_ckfl,rate_asst,depr_cm,depr_nutr,depr_educ,depr_satt,depr_wtr,depr_sani,depr_hsg,depr_elct,depr_asst,depr_ckfl,mpi_met4
1,rural,Banteay Meanchay,Banteay Meanchay,0,.25,0,.11764706,.05882353,.29411766,.47058824,.35294119,1,.05882353,0,1,1,0,1,1,0,0,0,1,.5
2,rural,Banteay Meanchay,Banteay Meanchay,0,.33333334,0,.16666667,0,.33333334,.33333334,.3888889,1,0,0,1,1,0,1,0,0,0,0,1,.44444445
3,rural,Banteay Meanchay,Banteay Meanchay,0,.25,0,.41176471,0,.11764706,.17647059,.23529412,1,0,0,1,1,0,0,0,0,0,0,1,.3888889
4,urban,Banteay Meanchay,Banteay Meanchay,0,.13333334,.06666667,.2,.06666667,.06666667,.2,.33333334,1,0,0,1,1,0,0,0,0,0,0,1,.3888889
5,urban,Banteay Meanchay,Banteay Meanchay,0,.21428572,.071428575,0,0,0,0,.071428575,.64285713,0,0,1,0,0,0,0,0,0,0,1,.22222222
6,rural,Banteay Meanchay,Banteay Meanchay,0,.23529412,.29411766,.35294119,.05882353,1,.64705884,.7647059,1,.23529412,0,1,1,1,1,1,1,0,0,1,.72222221
7,rural,Banteay Meanchay,Banteay Meanchay,0,.2,.05882353,.05882353,0,.70588237,.29411766,.58823532,.88235295,0,0,1,0,0,1,0,1,0,0,1,.33333334
8,rural,Banteay Meanchay,Banteay Meanchay,0,.23529412,.055555556,.16666667,.8888889,.8888889,.55555558,.3888889,1,.11111111,0,1,1,0,1,1,0,1,0,1,.55555558
9,rural,Banteay Meanchay,Banteay Meanchay,0,.05882353,0,.35294119,1,.82352942,.17647059,.17647059,1,.05882353,0,0,1,0,1,0,0,1,0,1,.33333334
10,rural,Banteay Meanchay,Banteay Meanchay,0,.46153846,.14285715,.5,1,.78571427,.64285713,.9285714,1,.14285715,0,1,1,0,1,1,1,1,0,1,.6111111
11,rural,Banteay Meanchay,Banteay Meanchay,0,.125,.23529412,.23529412,0,.35294119,.52941179,.52941179,1,0,0,1,1,1,1,1,1,0,0,1,.72222221
12,rural,Banteay Meanchay,Banteay Meanchay,.0625,.4375,.125,.5,1,.375,.75,.4375,1,0,1,1,1,0,1,1,0,1,0,1,.72222221
13,rural,Banteay Meanchay,Banteay Meanchay,0,.25,.25,.5,.4375,.75,.375,.5625,.9375,.25,0,1,1,1,1,0,1,1,0,1,.72222221
14,rural,Banteay Meanchay,Banteay Meanchay,0,.23076923,.07692308,.46153846,.15384616,.07692308,.53846157,.84615386,.53846157,.15384616,0,1,1,0,0,1,1,1,0,1,.55555558
15,urban,Banteay Meanchay,Banteay Meanchay,0,.1875,0,.0625,0,0,0,0,.375,0,0,1,0,0,0,0,0,0,0,1,.22222222
16,urban,Banteay Meanchay,Banteay Meanchay,0,.375,.0625,.25,.0625,.0625,.3125,.625,.8125,.1875,0,1,1,0,0,0,1,0,0,1,.44444445
17,urban,Banteay Meanchay,Banteay Meanchay,0,.1875,0,0,0,0,.125,.0625,.75,0,0,1,0,0,0,0,0,0,0,1,.22222222
18,rural,Banteay Meanchay,Banteay Meanchay,0,.27777779,.11111111,.27777779,0,.5,.3888889,.33333334,1,0,0,1,1,0,1,0,0,0,0,1,.44444445
19,urban,Banteay Meanchay,Banteay Meanchay,0,.2857143,0,.21428572,0,.071428575,.2857143,.071428575,.9285714,.071428575,0,1,1,0,0,0,0,0,0,1,.3888889
20,rural,Banteay Meanchay,Banteay Meanchay,0,.375,.11764706,.23529412,.35294119,.47058824,.41176471,.17647059,.82352942,.23529412,0,1,1,0,1,0,0,1,0,1,.5
21,rural,Banteay Meanchay,Banteay Meanchay,0,.055555556,.055555556,.44444445,.22222222,.3888889,.94444442,.3888889,1,.11111111,0,0,1,0,1,1,0,1,0,1,.3888889
22,rural,Banteay Meanchay,Banteay Meanchay,.0625,.1875,.125,.0625,.0625,.4375,.375,.375,.875,0,1,1,0,0,1,0,0,0,0,1,.44444445
23,rural,Banteay Meanchay,Banteay Meanchay,0,.22222222,.11111111,.3888889,.11111111,.77777779,.55555558,.66666669,1,.16666667,0,1,1,0,1,1,1,1,0,1,.6111111
24,rural,Banteay Meanchay,Banteay Meanchay,.05882353,.14285715,.05882353,.47058824,.7647059,.58823532,.64705884,.29411766,1,0,1,1,1,0,1,1,0,1,0,1,.72222221
25,rural,Banteay Meanchay,Banteay Meanchay,0,.23529412,.05882353,.35294119,.17647059,.29411766,.7647059,.35294119,.88235295,.11764706,0,1,1,0,1,1,0,1,0,1,.55555558
26,rural,Banteay Meanchay,Banteay Meanchay,0,.11764706,0,.41176471,0,.11764706,.23529412,.11764706,.88235295,.05882353,0,1,1,0,0,0,0,0,0,1,.3888889
27,urban,Banteay Meanchay,Banteay Meanchay,0,.2857143,.06666667,.06666667,0,0,0,.06666667,.06666667,.06666667,0,1,0,0,0,0,0,0,0,0,.16666667
28,urban,Banteay Meanchay,Banteay Meanchay,0,.26666668,.13333334,0,0,0,.06666667,.26666668,.40000001,.06666667,0,1,0,0,0,0,0,0,0,1,.22222222
29,urban,Banteay Meanchay,Banteay Meanchay,0,.1875,0,.1875,0,0,0,0,.0625,0,0,1,1,0,0,0,0,0,0,0,.33333334
30,urban,Banteay Meanchay,Banteay Meanchay,0,.375,.1875,.0625,0,.0625,.0625,.5,.25,.0625,0,1,0,1,0,0,1,0,0,0,.3888889
31,urban,Banteay Meanchay,Banteay Meanchay,0,.21428572,.14285715,.5714286,.071428575,.071428575,.5714286,.64285713,.85714287,.21428572,0,1,1,0,0,1,1,0,0,1,.5
32,urban,Banteay Meanchay,Banteay Meanchay,0,.21428572,.21428572,.071428575,0,.071428575,0,.42857143,.35714287,0,0,1,0,1,0,0,0,0,0,1,.3888889
33,rural,Kampong Cham,Kampong Cham,.055555556,.33333334,.055555556,.33333334,.16666667,.55555558,.66666669,.33333334,1,0,1,1,1,0,1,1,0,1,0,1,.72222221
34,rural,Kampong Cham,Kampong Cham,0,.16666667,.055555556,.27777779,.3888889,.33333334,.3888889,.22222222,.83333331,.16666667,0,1,1,0,1,0,0,1,0,1,.5
35,rural,Kampong Cham,Kampong Cham,0,.23529412,.05882353,.29411766,.05882353,.94117647,.35294119,.23529412,.94117647,.11764706,0,1,1,0,1,0,0,0,0,1,.44444445
36,rural,Kampong Cham,Kampong Cham,0,.64285713,.23529412,.23529412,1,.94117647,.82352942,.88235295,1,.23529412,0,1,1,1,1,1,1,1,0,1,.77777779
37,urban,Kampong Cham,Kampong Cham,0,.25,0,0,0,.1875,0,0,.3125,0,0,1,0,0,0,0,0,0,0,1,.22222222
38,urban,Kampong Cham,Kampong Cham,0,.125,0,.0625,0,0,0,0,.375,0,0,1,0,0,0,0,0,0,0,1,.22222222
39,urban,Kampong Cham,Kampong Cham,0,.33333334,.2,.26666668,0,0,.06666667,0,.40000001,0,0,1,1,1,0,0,0,0,0,1,.55555558
40,urban,Kampong Cham,Kampong Cham,0,.46666667,0,.06666667,0,0,.06666667,.13333334,.13333334,0,0,1,0,0,0,0,0,0,0,0,.16666667
41,rural,Kampong Cham,Kampong Cham,0,.23529412,.11764706,.23529412,1,.17647059,.94117647,.64705884,1,.17647059,0,1,1,0,0,1,1,1,0,1,.55555558
42,rural,Kampong Cham,Kampong Cham,0,.1875,.11764706,.29411766,1,0,.94117647,.58823532,1,.17647059,0,1,1,0,0,1,1,1,0,1,.55555558
43,rural,Kampong Cham,Kampong Cham,0,.125,0,.58823532,1,.41176471,.88235295,.41176471,1,.05882353,0,1,1,0,1,1,0,1,0,1,.55555558
44,rural,Kampong Cham,Kampong Cham,0,.16666667,0,.33333334,1,.5,.44444445,.27777779,.94444442,.055555556,0,1,1,0,1,0,0,1,0,1,.5
45,urban,Kampong Cham,Kampong Cham,.0625,.2,.1875,.375,1,.375,.6875,.4375,1,.0625,1,1,1,1,1,1,0,1,0,1,.8888889
46,rural,Kampong Cham,Kampong Cham,0,.35294119,0,.11111111,.44444445,.055555556,.27777779,.33333334,.8888889,.055555556,0,1,0,0,0,0,0,1,0,1,.27777779
47,rural,Kampong Cham,Kampong Cham,0,.22222222,.055555556,.55555558,.72222221,.16666667,.94444442,.6111111,1,0,0,1,1,0,0,1,1,1,0,1,.55555558
48,rural,Kampong Cham,Kampong Cham,0,.3125,.11764706,.41176471,.35294119,.05882353,.82352942,.47058824,1,.11764706,0,1,1,0,0,1,1,1,0,1,.55555558
49,rural,Kampong Cham,Kampong Cham,.05882353,.35294119,.17647059,.70588237,.41176471,.7647059,.7647059,.52941179,1,.17647059,1,1,1,1,1,1,1,1,0,1,.94444442
50,rural,Kampong Cham,Kampong Cham,0,.3125,.17647059,.35294119,1,.88235295,.94117647,.58823532,1,.05882353,0,1,1,1,1,1,1,1,0,1,.77777779
