psu;area;region;region_01;rate_cm;rate_nutr;rate_satt;rate_educ;rate_elct;rate_wtr;rate_sani;rate_hsg;rate_ckfl;rate_asst;depr_cm;depr_nutr;depr_educ;depr_satt;depr_wtr;depr_sani;depr_hsg;depr_elct;depr_asst;depr_ckfl;mpi_met4
29;urban;Kampong Chhnang;Kampong Chhnang;0;0.27272728;0.27272728;0.18181819;0.18181819;0.090909094;0.18181819;0.18181819;0.54545456;0.36363637;0;1;1;1;0;0;0;1;0;1;0.6111111
30;rural;Siem Reap;Siem Reap;0.14285715;0.5714286;0.5714286;0.85714287;1;0.5714286;0.9285714;0.35714287;1;0.21428572;1;1;1;1;1;1;0;1;0;1;0.8888889
31;urban;Banteay Meanchay;Banteay Meanchay;0;0.27272728;0.090909094;0.45454547;0.36363637;0.36363637;0.27272728;0.36363637;0.72727275;0.36363637;0;1;1;0;1;0;0;1;0;1;0.5
32;urban;Prey Veng;Prey Veng;0;0.54545456;0.083333336;0.66666669;1;0;1;0.91666669;1;0.25;0;1;1;0;0;1;1;1;0;1;0.55555558
33;urban;Battambang & Pailin;Battambang & Pailin;0;0.25;0;0.16666667;0.25;0.41666666;0.41666666;0.25;0.91666669;0.083333336;0;1;1;0;1;0;0;1;0;1;0.5
34;rural;Mondul Kiri and Ratanak Kiri;Mondul Kiri and Ratanak Kiri;0.21428572;0.64285713;0.64285713;0.9285714;1;1;1;0.71428573;1;0.78571427;1;1;1;1;1;1;1;1;1;1;1
35;rural;Takeo;Takeo;0;0.21428572;0;0.14285715;1;0.21428572;0.5;0.35714287;1;0.14285715;0;1;1;0;0;1;0;1;0;1;0.5
36;rural;Kampot & Kep;Kampot & Kep;0.071428575;0.21428572;0.15384616;0.9285714;1;0.9285714;1;0.64285713;1;0.5;1;1;1;0;1;1;1;1;0;1;0.77777779
37;rural;Svay Rieng;Svay Rieng;0.071428575;0.14285715;0.14285715;0.35714287;1;0;0.9285714;0.85714287;1;0.21428572;1;1;1;0;0;1;1;1;0;1;0.72222221
38;rural;Pursat;Pursat;0.071428575;0.5;0.21428572;0.2857143;1;0.42857143;0.9285714;0.42857143;1;0.14285715;1;1;1;1;1;1;0;1;0;1;0.8888889
39;rural;Pursat;Pursat;0;0.64285713;0.21428572;0.5714286;1;0.71428573;1;0.64285713;1;0.35714287;0;1;1;1;1;1;1;1;0;1;0.77777779
40;rural;Kratie;Kratie;0;0.21428572;0;0.14285715;1;0.42857143;1;0.5714286;1;0.42857143;0;1;1;0;1;1;1;1;0;1;0.6111111
41;urban;Pursat;Pursat;0;0.22222222;0.11111111;0;0.11111111;0.33333334;0.11111111;0;0.66666669;0.11111111;0;1;0;0;1;0;0;1;0;1;0.33333334
42;rural;Kampot & Kep;Kampot & Kep;0;0.38461539;0;0.15384616;0.92307693;0.76923078;0.84615386;0.46153846;1;0.23076923;0;1;1;0;1;1;1;1;0;1;0.6111111
43;urban;Kratie;Kratie;0;0.33333334;0;0.25;1;0.75;0.58333331;0.25;1;0.33333334;0;1;1;0;1;1;0;1;0;1;0.55555558
44;rural;Pursat;Pursat;0;0.40000001;0.66666669;0.83333331;1;1;1;0.5;1;0.16666667;0;1;1;1;1;1;1;1;0;1;0.77777779
45;rural;Otdar Meanchey;Otdar Meanchey;0.071428575;0.5;0.5;0.9285714;1;0.9285714;0.9285714;0.42857143;1;0.9285714;1;1;1;1;1;1;0;1;1;1;0.94444442
46;rural;Battambang & Pailin;Battambang & Pailin;0;0.16666667;0.083333336;0.16666667;0.91666669;1;0.91666669;0.33333334;1;0.16666667;0;1;1;0;1;1;0;1;0;1;0.55555558
47;rural;Prey Veng;Prey Veng;0.090909094;0.18181819;0.090909094;0.36363637;1;0;1;0.90909094;1;0.36363637;1;1;1;0;0;1;1;1;0;1;0.72222221
48;rural;Kampong Thom;Kampong Thom;0;0.53846157;0.46153846;0.46153846;1;0.53846157;1;0.46153846;1;0.30769232;0;1;1;1;1;1;1;1;0;1;0.77777779
49;rural;Prey Veng;Prey Veng;0;0.46153846;0.23076923;0.23076923;1;0.07692308;0.84615386;0.84615386;1;0.46153846;0;1;1;1;0;1;1;1;0;1;0.72222221
50;rural;Kampong Speu;Kampong Speu;0;0.53846157;0;0.071428575;1;0.35714287;0.78571427;0.42857143;1;0.2857143;0;1;0;0;1;1;0;1;0;1;0.3888889
51;rural;Pursat;Pursat;0.16666667;0.75;0.66666669;0.66666669;1;0.5;1;0.66666669;1;0.5;1;1;1;1;1;1;1;1;0;1;0.94444442
52;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.14285715;0.5;0.35714287;0.9285714;1;0.85714287;1;0.71428573;1;0.64285713;1;1;1;1;1;1;1;1;1;1;1
53;rural;Pursat;Pursat;0.083333336;0.83333331;0.53846157;0.76923078;1;1;1;0.69230771;1;0.53846157;1;1;1;1;1;1;1;1;0;1;0.94444442
