hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01,mpi
10012,1001204,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001205,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001206,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001207,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001208,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001209,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001401,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001402,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001403,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001404,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001405,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001406,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10014,1001407,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10016,1001601,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001602,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001603,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001604,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001605,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001606,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10016,1001607,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.22222222
10018,1001801,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10018,1001802,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10018,1001803,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10020,1002001,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002002,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002003,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002004,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002005,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002006,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10020,1002007,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.22222222
10022,1002201,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,1002202,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,1002203,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,1002204,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,1002205,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,1002401,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,.3888889
10024,1002402,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,.3888889
10026,1002601,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10026,1002602,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10026,1002603,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10026,1002604,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10026,1002605,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10028,1002801,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002802,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002803,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002804,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002805,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002806,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002807,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1002808,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10030,1003001,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,.3888889
10030,1003002,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,.3888889
10030,1003003,1,1,1,.940228,urban,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,.3888889
